strategy,terminal_q01,terminal_q05,terminal_q10,terminal_q50,terminal_q90,terminal_q95,terminal_q99,terminal_mean,terminal_min,terminal_max,terminal_survival_q50,terminal_survival_mean,cagr_q01,cagr_q05,cagr_q10,cagr_q50,cagr_q90,cagr_mean,max_drawdown_q01,max_drawdown_q05,max_drawdown_q10,max_drawdown_q50,max_drawdown_mean,max_drawdown_min,ann_std_q50,ann_std_mean,ann_std_q90,n_paths,n_ruined_or_non_positive,ruin_rate,min_value_observed,simulation_years,n_days,start_value,leverage,rebalance_mode,simulation_history_years,optimisation_lookback_years,block_size,n_simulations_requested
min_variance,71706.0,93345.0,108485.0,159034.0,217859.0,235502.0,273975.0,161783.056,50005.895,346848.59,159033.696,161783.056,-0.033,-0.007,0.008,0.047,0.081,0.046,-0.495,-0.393,-0.344,-0.207,-0.221,-0.642,0.09,0.091,0.109,2000.0,0.0,0.0,44565.391,10,2520,100000.0,2.0,band,20,3,60,2000
max_sharpe,56966.0,86012.0,106724.0,209439.0,380423.0,436147.0,577104.0,229155.187,34545.671,1133990.186,209439.041,229155.187,-0.055,-0.015,0.007,0.077,0.143,0.075,-0.63,-0.547,-0.493,-0.317,-0.33,-0.787,0.151,0.153,0.181,2000.0,0.0,0.0,31448.933,10,2520,100000.0,2.0,band,20,3,60,2000
market_cap,13778.0,35408.0,54300.0,250056.0,968625.0,1365730.0,2464359.0,410175.883,3639.69,5150190.059,250056.393,410175.883,-0.18,-0.099,-0.059,0.096,0.255,0.097,-0.955,-0.899,-0.848,-0.66,-0.651,-0.984,0.379,0.383,0.458,2000.0,0.0,0.0,2224.998,10,2520,100000.0,2.0,band,20,3,60,2000
equal_weight,40796.0,71562.0,93472.0,193305.0,371107.0,419001.0,563097.0,214848.35,23659.752,852708.69,193305.372,214848.35,-0.086,-0.033,-0.007,0.068,0.14,0.066,-0.757,-0.65,-0.586,-0.373,-0.387,-0.871,0.167,0.168,0.198,2000.0,0.0,0.0,19023.463,10,2520,100000.0,2.0,band,20,3,60,2000
