strategy,terminal_q01,terminal_q05,terminal_q10,terminal_q50,terminal_q90,terminal_q95,terminal_q99,terminal_mean,terminal_min,terminal_max,terminal_survival_q50,terminal_survival_mean,cagr_q01,cagr_q05,cagr_q10,cagr_q50,cagr_q90,cagr_mean,max_drawdown_q01,max_drawdown_q05,max_drawdown_q10,max_drawdown_q50,max_drawdown_mean,max_drawdown_min,ann_std_q50,ann_std_mean,ann_std_q90,n_paths,n_ruined_or_non_positive,ruin_rate,min_value_observed,simulation_years,n_days,start_value,leverage,rebalance_mode,simulation_history_years,optimisation_lookback_years,block_size,n_simulations_requested
min_variance,73807.0,94277.0,107865.0,157524.0,227564.0,252217.0,302764.0,163980.063,53027.097,389086.999,157523.854,163980.063,-0.03,-0.006,0.008,0.046,0.086,0.046,-0.471,-0.383,-0.341,-0.219,-0.228,-0.619,0.094,0.094,0.107,2000.0,0.0,0.0,47880.462,10,2520,100000.0,2.0,daily,20,3,60,2000
max_sharpe,56592.0,84482.0,103369.0,213741.0,416238.0,488562.0,678627.0,241700.521,36421.845,1490814.81,213740.652,241700.521,-0.055,-0.017,0.003,0.079,0.153,0.078,-0.617,-0.547,-0.5,-0.34,-0.347,-0.771,0.162,0.164,0.188,2000.0,0.0,0.0,34548.259,10,2520,100000.0,2.0,daily,20,3,60,2000
market_cap,11424.0,29453.0,46344.0,238800.0,1072876.0,1571134.0,3083311.0,437869.462,2922.631,7450032.413,238800.104,437869.462,-0.195,-0.115,-0.074,0.091,0.268,0.094,-0.96,-0.912,-0.868,-0.689,-0.676,-0.986,0.399,0.403,0.473,2000.0,0.0,0.0,2152.83,10,2520,100000.0,2.0,daily,20,3,60,2000
equal_weight,42936.0,70632.0,91480.0,194754.0,403735.0,469632.0,669996.0,225435.413,25520.544,1048814.908,194754.496,225435.413,-0.081,-0.034,-0.009,0.069,0.15,0.069,-0.743,-0.644,-0.59,-0.394,-0.402,-0.857,0.177,0.178,0.202,2000.0,0.0,0.0,20448.935,10,2520,100000.0,2.0,daily,20,3,60,2000
