strategy,terminal_q01,terminal_q05,terminal_q10,terminal_q50,terminal_q90,terminal_q95,terminal_q99,terminal_mean,terminal_min,terminal_max,terminal_survival_q50,terminal_survival_mean,cagr_q01,cagr_q05,cagr_q10,cagr_q50,cagr_q90,cagr_mean,max_drawdown_q01,max_drawdown_q05,max_drawdown_q10,max_drawdown_q50,max_drawdown_mean,max_drawdown_min,ann_std_q50,ann_std_mean,ann_std_q90,n_paths,n_ruined_or_non_positive,ruin_rate,min_value_observed,simulation_years,n_days,start_value,leverage,rebalance_mode,simulation_history_years,optimisation_lookback_years,block_size,n_simulations_requested
min_variance,98175.0,112266.0,119808.0,144858.0,174529.0,183463.0,202294.0,145960.549,82647.616,229921.725,144858.313,145960.549,-0.002,0.012,0.018,0.038,0.057,0.037,-0.238,-0.186,-0.162,-0.106,-0.109,-0.355,0.047,0.047,0.053,2000.0,0.0,0.0,73173.322,10,2520,100000.0,1.0,unlevered,20,3,60,2000
max_sharpe,87948.0,107634.0,119438.0,172180.0,241555.0,263247.0,312896.0,176841.941,70120.292,465409.408,172180.162,176841.941,-0.013,0.007,0.018,0.056,0.092,0.055,-0.339,-0.287,-0.26,-0.171,-0.177,-0.49,0.081,0.082,0.094,2000.0,0.0,0.0,64319.771,10,2520,100000.0,1.0,unlevered,20,3,60,2000
market_cap,53377.0,81207.0,101533.0,214768.0,437322.0,530005.0,745090.0,247394.719,27590.582,1198585.408,214768.249,247394.719,-0.061,-0.021,0.002,0.079,0.159,0.08,-0.727,-0.625,-0.561,-0.396,-0.401,-0.833,0.2,0.201,0.237,2000.0,0.0,0.0,20620.063,10,2520,100000.0,1.0,unlevered,20,3,60,2000
equal_weight,77199.0,100781.0,113662.0,165715.0,237522.0,257406.0,306642.0,171019.411,59528.647,390559.964,165714.541,171019.411,-0.026,0.001,0.013,0.052,0.09,0.051,-0.453,-0.365,-0.319,-0.205,-0.212,-0.594,0.088,0.089,0.101,2000.0,0.0,0.0,51368.619,10,2520,100000.0,1.0,unlevered,20,3,60,2000
