strategy,terminal_q01,terminal_q05,terminal_q10,terminal_q50,terminal_q90,terminal_q95,terminal_q99,terminal_mean,terminal_min,terminal_max,terminal_survival_q50,terminal_survival_mean,cagr_q01,cagr_q05,cagr_q10,cagr_q50,cagr_q90,cagr_mean,max_drawdown_q01,max_drawdown_q05,max_drawdown_q10,max_drawdown_q50,max_drawdown_mean,max_drawdown_min,ann_std_q50,ann_std_mean,ann_std_q90,n_paths,n_ruined_or_non_positive,ruin_rate,min_value_observed,simulation_years,n_days,start_value,leverage,rebalance_mode,simulation_history_years,optimisation_lookback_years,block_size,n_simulations_requested
min_variance,73615.0,94268.0,107758.0,157560.0,227550.0,252379.0,302166.0,164023.941,53011.508,389045.95,157559.652,164023.941,-0.03,-0.006,0.008,0.047,0.086,0.046,-0.474,-0.383,-0.342,-0.22,-0.228,-0.619,0.094,0.095,0.107,2000.0,0.0,0.0,47832.667,10,2520,100000.0,2.0,weekly,20,3,60,2000
max_sharpe,56724.0,84642.0,103035.0,214430.0,417609.0,490274.0,682868.0,242131.001,36306.706,1502988.873,214430.011,242131.001,-0.055,-0.017,0.003,0.079,0.154,0.078,-0.62,-0.548,-0.502,-0.341,-0.348,-0.773,0.163,0.164,0.188,2000.0,0.0,0.0,34333.397,10,2520,100000.0,2.0,weekly,20,3,60,2000
market_cap,12442.0,31789.0,50371.0,253052.0,1115301.0,1629198.0,3145863.0,459943.192,3325.046,7903194.287,253051.8,459943.192,-0.188,-0.108,-0.066,0.097,0.273,0.1,-0.959,-0.908,-0.862,-0.682,-0.671,-0.984,0.404,0.407,0.482,2000.0,0.0,0.0,2412.391,10,2520,100000.0,2.0,weekly,20,3,60,2000
equal_weight,42876.0,70769.0,91404.0,194624.0,404501.0,471267.0,670176.0,225709.049,25407.54,1054135.887,194623.921,225709.049,-0.081,-0.034,-0.009,0.069,0.15,0.069,-0.743,-0.645,-0.592,-0.394,-0.403,-0.859,0.177,0.179,0.202,2000.0,0.0,0.0,20186.226,10,2520,100000.0,2.0,weekly,20,3,60,2000
