ticker,average_weight,simulation,strategy
BND,0.2148212820512823,9,max_sharpe
GLD,0.11969538461538431,9,max_sharpe
GSG,0.13657282051282035,9,max_sharpe
SGOV,0.22754529914529958,9,max_sharpe
VT,0.30136504273504255,9,max_sharpe
BND,0.0,9,market_cap
GLD,0.0,9,market_cap
GSG,0.0,9,market_cap
SGOV,0.0,9,market_cap
VT,1.0,9,market_cap
BND,0.19999999999999957,9,equal_weight
GLD,0.19999999999999957,9,equal_weight
GSG,0.19999999999999957,9,equal_weight
SGOV,0.19999999999999957,9,equal_weight
VT,0.19999999999999957,9,equal_weight
BND,0.3000000000000002,10,min_variance
GLD,0.09999999999999978,10,min_variance
GSG,0.09999999999999978,10,min_variance
SGOV,0.39999999999999913,10,min_variance
VT,0.09999999999999978,10,min_variance
BND,0.20378290598290658,10,max_sharpe
GLD,0.25287683760683766,10,max_sharpe
GSG,0.16550564102564086,10,max_sharpe
SGOV,0.2604265811965814,10,max_sharpe
VT,0.11740803418803397,10,max_sharpe
BND,0.0,10,market_cap
GLD,0.0,10,market_cap
GSG,0.0,10,market_cap
SGOV,0.0,10,market_cap
VT,1.0,10,market_cap
BND,0.19999999999999957,10,equal_weight
GLD,0.19999999999999957,10,equal_weight
GSG,0.19999999999999957,10,equal_weight
SGOV,0.19999999999999957,10,equal_weight
VT,0.19999999999999957,10,equal_weight
BND,0.3000000000000002,11,min_variance
GLD,0.09999999999999978,11,min_variance
GSG,0.09999999999999978,11,min_variance
SGOV,0.39999999999999913,11,min_variance
VT,0.09999999999999978,11,min_variance
BND,0.16551829059829035,11,max_sharpe
GLD,0.20609940170940208,11,max_sharpe
GSG,0.11483880341880329,11,max_sharpe
SGOV,0.22168846153846186,11,max_sharpe
VT,0.29185470085470067,11,max_sharpe
BND,0.0,11,market_cap
GLD,0.0,11,market_cap
GSG,0.0,11,market_cap
SGOV,0.0,11,market_cap
VT,1.0,11,market_cap
BND,0.19999999999999957,11,equal_weight
GLD,0.19999999999999957,11,equal_weight
GSG,0.19999999999999957,11,equal_weight
SGOV,0.19999999999999957,11,equal_weight
VT,0.19999999999999957,11,equal_weight
BND,0.3000000000000002,12,min_variance
GLD,0.09999999999999978,12,min_variance
GSG,0.09999999999999978,12,min_variance
SGOV,0.39999999999999913,12,min_variance
VT,0.09999999999999978,12,min_variance
BND,0.29780529914529874,12,max_sharpe
GLD,0.20950264957264988,12,max_sharpe
GSG,0.11656205128205109,12,max_sharpe
SGOV,0.20723333333333355,12,max_sharpe
VT,0.16889658119658107,12,max_sharpe
BND,0.0,12,market_cap
GLD,0.0,12,market_cap
GSG,0.0,12,market_cap
SGOV,0.0,12,market_cap
VT,1.0,12,market_cap
BND,0.19999999999999957,12,equal_weight
GLD,0.19999999999999957,12,equal_weight
GSG,0.19999999999999957,12,equal_weight
SGOV,0.19999999999999957,12,equal_weight
VT,0.19999999999999957,12,equal_weight
BND,0.3000000000000002,13,min_variance
GLD,0.09999999999999978,13,min_variance
GSG,0.09999999999999978,13,min_variance
SGOV,0.39999999999999913,13,min_variance
VT,0.09999999999999978,13,min_variance
BND,0.24847213675213703,13,max_sharpe
GLD,0.17080034188034193,13,max_sharpe
GSG,0.12385940170940161,13,max_sharpe
SGOV,0.24720829059829036,13,max_sharpe
VT,0.2096594871794872,13,max_sharpe
BND,0.0,13,market_cap
GLD,0.0,13,market_cap
GSG,0.0,13,market_cap
SGOV,0.0,13,market_cap
VT,1.0,13,market_cap
BND,0.19999999999999957,13,equal_weight
GLD,0.19999999999999957,13,equal_weight
GSG,0.19999999999999957,13,equal_weight
SGOV,0.19999999999999957,13,equal_weight
VT,0.19999999999999957,13,equal_weight
BND,0.3000000000000002,14,min_variance
GLD,0.09999999999999978,14,min_variance
GSG,0.09999999999999978,14,min_variance
SGOV,0.39999999999999913,14,min_variance
VT,0.09999999999999978,14,min_variance
BND,0.20112213675213741,14,max_sharpe
GLD,0.35808615384615333,14,max_sharpe
GSG,0.10199564102564082,14,max_sharpe
SGOV,0.21974529914529922,14,max_sharpe
VT,0.11905076923076897,14,max_sharpe
BND,0.0,14,market_cap
GLD,0.0,14,market_cap
GSG,0.0,14,market_cap
SGOV,0.0,14,market_cap
VT,1.0,14,market_cap
BND,0.19999999999999957,14,equal_weight
GLD,0.19999999999999957,14,equal_weight
GSG,0.19999999999999957,14,equal_weight
SGOV,0.19999999999999957,14,equal_weight
VT,0.19999999999999957,14,equal_weight
BND,0.3000000000000002,15,min_variance
GLD,0.09999999999999978,15,min_variance
GSG,0.09999999999999978,15,min_variance
SGOV,0.39999999999999913,15,min_variance
VT,0.09999999999999978,15,min_variance
BND,0.26712153846153874,15,max_sharpe
GLD,0.22440752136752184,15,max_sharpe
GSG,0.10240059829059811,15,max_sharpe
SGOV,0.24124948717948713,15,max_sharpe
VT,0.16482068376068368,15,max_sharpe
BND,0.0,15,market_cap
GLD,0.0,15,market_cap
GSG,0.0,15,market_cap
SGOV,0.0,15,market_cap
VT,1.0,15,market_cap
BND,0.19999999999999957,15,equal_weight
GLD,0.19999999999999957,15,equal_weight
GSG,0.19999999999999957,15,equal_weight
SGOV,0.19999999999999957,15,equal_weight
VT,0.19999999999999957,15,equal_weight
BND,0.3000000000000002,16,min_variance
GLD,0.09999999999999978,16,min_variance
GSG,0.09999999999999978,16,min_variance
SGOV,0.39999999999999913,16,min_variance
VT,0.09999999999999978,16,min_variance
BND,0.3205039316239312,16,max_sharpe
GLD,0.26310931623931666,16,max_sharpe
GSG,0.11490564102564092,16,max_sharpe
SGOV,0.16610435897435905,16,max_sharpe
VT,0.13537649572649557,16,max_sharpe
BND,0.0,16,market_cap
GLD,0.0,16,market_cap
GSG,0.0,16,market_cap
SGOV,0.0,16,market_cap
VT,1.0,16,market_cap
BND,0.19999999999999957,16,equal_weight
GLD,0.19999999999999957,16,equal_weight
GSG,0.19999999999999957,16,equal_weight
SGOV,0.19999999999999957,16,equal_weight
VT,0.19999999999999957,16,equal_weight
BND,0.3000000000000002,17,min_variance
GLD,0.09999999999999978,17,min_variance
GSG,0.09999999999999978,17,min_variance
SGOV,0.39999999999999913,17,min_variance
VT,0.09999999999999978,17,min_variance
BND,0.33014820512820464,17,max_sharpe
GLD,0.21399247863247925,17,max_sharpe
GSG,0.09999999999999978,17,max_sharpe
SGOV,0.18749606837606841,17,max_sharpe
