date,open,high,low,close,volume
2004-02-02,50.188330028860506,50.25195734502136,50.095333099365234,50.095333099365234,21300.0
2004-02-03,50.3058098077172,50.3058098077172,50.124715195768566,50.232391357421875,40300.0
2004-02-04,50.256875564417754,50.26177112455039,50.105146808270355,50.23729705810547,37600.0
2004-02-05,50.21769590797835,50.24706552131276,50.03660134112955,50.095333099365234,38900.0
2004-02-06,50.23728362187326,50.30580650853032,50.19323479511541,50.30091094970703,31600.0
2004-02-09,50.379204215203984,50.413465644428655,50.26662881391393,50.33515167236328,15800.0
2004-02-10,50.35472116378612,50.35472116378612,50.193205160151976,50.22746658325195,31300.0
2004-02-11,50.25194496270872,50.50646163307119,50.14916067690622,50.42325210571289,26200.0
2004-02-12,50.51137507925094,50.51137507925094,50.33517230409634,50.42816925048828,61400.0
2004-02-13,50.526046621687414,50.65330123901367,50.413471207973735,50.65330123901367,82500.0
2004-02-17,50.55054621891923,50.56033733928682,50.413500407519344,50.530967712402344,78300.0
2004-02-18,50.63373981859548,50.658213879373925,50.46243259579857,50.49180221557617,38800.0
2004-02-19,50.45263820592507,50.56031808364945,50.3645368272612,50.545631408691406,21500.0
2004-02-20,50.526034112484126,50.53092593440516,50.33514476532274,50.38898468017578,40700.0
2004-02-23,50.452624520225086,50.53583031799933,50.320470620968706,50.52604293823242,24300.0
2004-02-24,50.57498772674058,50.60435360050176,50.47220343436056,50.481990814208984,40800.0
2004-02-25,50.58477003700304,50.64350551285485,50.51135162574216,50.59945297241211,78800.0
2004-02-26,50.57498227105657,50.57987409334514,50.47219798976421,50.5162467956543,33700.0
2004-02-27,50.65330123901367,50.66798417684239,50.550516939996555,50.65330123901367,34100.0
2004-03-01,50.705301015755154,50.72001893696281,50.4845247114139,50.67586517333984,154200.0
2004-03-02,50.58265638425328,50.646439045872135,50.41094103203701,50.49925231933594,28500.0
2004-03-03,50.57282443546696,50.57282443546696,50.38638749443358,50.44526290893555,79900.0
2004-03-04,50.57283553560598,50.58264623528679,50.45018120247333,50.567928314208984,116500.0
2004-03-05,50.97513896021261,51.019292721160745,50.528675414023205,50.9407958984375,68900.0
2004-03-08,51.09783471057481,51.12236334994856,50.96046235211047,51.112552642822266,44100.0
2004-03-09,51.11251047715885,51.235164802191086,51.04873157566274,51.18610382080078,46400.0
2004-03-10,51.17141201204669,51.20084786727858,51.08310070323615,51.127254486083984,38800.0
2004-03-11,51.2891542328975,51.2891542328975,50.98006655340757,51.24009323120117,56000.0
2004-03-12,51.17140685043978,51.1812175534892,51.02912732597912,51.08309555053711,42300.0
2004-03-15,51.09779509973507,51.15666678308778,51.024201752431054,51.09288787841797,61300.0
2004-03-16,51.06346688136264,51.254807394109655,50.930998069082875,51.21555709838867,53200.0
2004-03-17,51.308768020613265,51.308768020613265,51.13705268114274,51.191017150878906,28300.0
2004-03-18,51.18121043701205,51.24989657815096,51.03402370993498,51.14196014404297,27000.0
2004-03-19,51.14193129085434,51.17137086552895,50.970216034885155,51.08796310424805,132500.0
2004-03-22,51.14196601881386,51.2302773165818,51.0830943157115,51.22046661376953,23300.0
2004-03-23,51.195986095731456,51.24995437364645,51.10767470851766,51.22542572021485,45500.0
2004-03-24,51.26956260134673,51.279373310854,51.14200091905054,51.254844665527344,31300.0
2004-03-25,51.195986095731456,51.23523643296385,51.10767470851766,51.22542572021485,39000.0
2004-03-26,51.17139090930315,51.19591953084267,50.91136057056841,51.048736572265625,102300.0
2004-03-29,50.91628177699476,50.96043929687568,50.759284332189694,50.95553207397461,210100.0
2004-03-30,50.9898466620844,50.999657359291355,50.75434875488281,50.75434875488281,243200.0
2004-03-31,50.92609756494049,51.06346986487604,50.877032820865416,50.99968719482422,105100.0
2004-04-01,51.04395490685874,51.04395490685874,50.84229929641309,51.0242805480957,128500.0
2004-04-02,50.37014033531331,50.645573931691914,50.37014033531331,50.55704116821289,165600.0
2004-04-05,50.19302021317865,50.34057215681656,50.19302021317865,50.24712371826172,77500.0
2004-04-06,50.38978958129883,50.414383464476515,50.23731801259642,50.38978958129883,54800.0
2004-04-07,50.40453564363639,50.497984121002226,50.266815185546875,50.266815185546875,207600.0
2004-04-08,50.316019114560355,50.458651639417376,50.29142522958501,50.29634475708008,18700.0
2004-04-12,50.34062028503022,50.36521417539817,50.207823033545395,50.28160095214844,88400.0
2004-04-13,50.15862120172733,50.21764051366046,50.02582024487881,50.19305038452149,110800.0
2004-04-14,49.922532177674384,50.050413606366305,49.81432510358888,50.04549407958984,30400.0
2004-04-15,49.91274424351105,50.05537688289097,49.88323080734365,49.97176361083984,40600.0
